name,value
China,"774,710,000"
India,"521,900,000"
United States,"146,128,000"
Indonesia,"129,366,000"
Brazil,"86,621,000"
Russia,"69,923,000"
Bangladesh,"66,640,000"
Japan,"66,540,000"
Pakistan,"61,710,000"
Nigeria,"60,080,000"
Vietnam,"54,659,000"
Ethiopia,"52,820,000"
Mexico,"50,914,000"
Germany,"44,585,000"
Philippines,"41,533,000"
Thailand,"37,546,000"
United Kingdom,"35,412,000"
Iran,"30,500,000"
France,"27,742,000"
"Korea, South","26,839,000"
Turkey (Turkiye),"25,677,000"
Tanzania,"24,890,000"
Egypt,"24,113,000"
Italy,"22,920,000"
Burma,"22,300,000"
"Congo, Democratic Republic of the","20,692,000"
Kenya,"19,600,000"
Colombia,"19,309,000"
Spain,"19,057,000"
Canada,"18,136,000"
Argentina,"18,000,000"
Nepal,"16,810,000"
Ukraine,"16,033,000"
Uganda,"15,840,000"
Malaysia,"15,139,000"
South Africa,"14,687,000"
Venezuela,"14,210,000"
"Korea, North","14,000,000"
Saudi Arabia,"13,800,000"
Madagascar,"13,400,000"
Uzbekistan,"13,273,000"
Mozambique,"12,900,000"
Australia,"12,568,000"
Angola,"12,510,000"
Ghana,"12,490,000"
Sudan,"11,920,000"
Taiwan,"11,498,000"
Algeria,"10,859,000"
Morocco,"10,399,000"
Cameroon,"9,912,000"
Poland,"9,561,000"
Cambodia,"8,913,000"
Netherlands,"8,907,000"
Iraq,"8,900,000"
Cote d'Ivoire,"8,747,000"
Kazakhstan,"8,685,000"
Burkina Faso,"8,501,000"
Afghanistan,"8,478,000"
Ecuador,"8,086,000"
Sri Lanka,"8,000,000"
Zimbabwe,"7,907,000"
Yemen,"7,425,000"
Chile,"7,249,000"
Malawi,"7,000,000"
Senegal,"6,966,000"
Zambia,"6,898,000"
Guatemala,"6,664,000"
Niger,"6,500,000"
Mali,"6,447,000"
Rwanda,"6,227,000"
Bolivia,"5,719,000"
Chad,"5,654,000"
Guinea,"5,558,000"
United Arab Emirates,"5,344,000"
Czechia,"5,222,000"
Switzerland,"5,067,000"
Sweden,"5,029,000"
Burundi,"5,012,000"
Azerbaijan,"4,939,000"
Romania,"4,889,000"
Dominican Republic,"4,732,000"
Portugal,"4,717,000"
Cuba,"4,691,000"
Haiti,"4,594,000"
Hungary,"4,414,000"
Belarus,"4,381,000"
Somalia,"4,154,000"
Belgium,"4,122,000"
Tunisia,"4,054,000"
Greece,"4,000,000"
Israel,"3,893,000"
Singapore,"3,778,000"
Syria,"3,767,000"
Austria,"3,739,000"
Honduras,"3,735,000"
Papua New Guinea,"3,681,000"
Benin,"3,662,000"
Hong Kong,"3,627,000"
Laos,"3,582,000"
Paraguay,"3,428,000"
Peru,"3,421,000"
Bulgaria,"3,113,000"
Nicaragua,"3,046,000"
Serbia,"3,000,000"
El Salvador,"2,908,000"
Kyrgyzstan,"2,841,000"
Denmark,"2,736,000"
Eritrea,"2,710,000"
New Zealand,"2,709,000"
Norway,"2,699,000"
Kuwait,"2,695,000"
Togo,"2,595,000"
Finland,"2,520,000"
Slovakia,"2,511,000"
Turkmenistan,"2,305,000"
Tajikistan,"2,295,000"
Ireland,"2,289,000"
Oman,"2,255,000"
Central African Republic,"2,242,000"
Lebanon,"2,166,000"
"Congo, Republic of the","2,055,000"
Qatar,"1,953,000"
Costa Rica,"1,843,000"
Uruguay,"1,748,000"
Liberia,"1,677,000"
Croatia,"1,656,000"
Panama,"1,633,000"
Armenia,"1,507,000"
Mauritania,"1,437,000"
Lithuania,"1,333,000"
Moldova,"1,295,000"
Mongolia,"1,241,000"
Gaza Strip,"1,240,000"
West Bank,"1,240,000"
Botswana,"1,177,000"
Puerto Rico,"1,139,000"
Libya,"1,114,000"
Jamaica,"1,113,000"
Albania,"1,104,000"
Namibia,"956,8"
Lesotho,"930,8"
Latvia,885
Slovenia,885
Bahrain,"831,6"
Bosnia and Herzegovina,806
North Macedonia,793
"Gambia, The","777,1"
Guinea-Bissau,"731,3"
Jordan,731
Georgia,686
Estonia,648
Trinidad and Tobago,"629,4"
Gabon,"557,8"
Mauritius,554
Kosovo,"500,3"
Luxembourg,476
Eswatini,"427,9"
Cyprus,416
Bhutan,"397,9"
Macau,392
Fiji,"353,1"
Guyana,"313,8"
Djibouti,"294,6"
Timor-Leste,"286,7"
Comoros,"278,5"
Malta,223
Maldives,"222,2"
Brunei,"203,6"
Solomon Islands,"202,5"
Iceland,200
"Bahamas, The","196,9"
Cabo Verde,"196,1"
Equatorial Guinea,"195,2"
Montenegro,167
Barbados,144
Suriname,144
Sierra Leone,132
French Polynesia,"126,3"
Belize,"120,5"
New Caledonia,"119,5"
Vanuatu,"115,9"
Saint Lucia,"79,7"
Guam,"73,21"
Curacao,"73,01"
Sao Tome and Principe,"72,6"
Jersey,"59,95"
Saint Vincent and the Grenadines,"57,52"
Grenada,"55,27"
Monaco,52
Aruba,"51,61"
Seychelles,51
Samoa,"50,7"
Virgin Islands,"48,55"
Isle of Man,"41,79"
Andorra,"39,75"
Cayman Islands,39
Kiribati,39
Liechtenstein,"38,52"
"Micronesia, Federated States of","37,92"
Tonga,"33,8"
Bermuda,"33,48"
Guernsey,"31,47"
Antigua and Barbuda,30
Northern Mariana Islands,"27,97"
Faroe Islands,"27,54"
Greenland,"26,84"
Dominica,25
Gibraltar,"24,42"
Sint Maarten,"23,2"
San Marino,"21,96"
Saint Kitts and Nevis,"18,17"
American Samoa,"17,85"
Saint Martin,"17,3"
British Virgin Islands,"12,77"
Palau,"11,61"
Marshall Islands,"10,67"
Cook Islands,"6,82"
Anguilla,"6,049"
Turks and Caicos Islands,"4,848"
Holy See (Vatican City),"4,822"
Montserrat,"4,521"
Wallis and Futuna,"4,482"
Saint Pierre and Miquelon,"4,429"
Tuvalu,"3,615"
"Saint Helena, Ascension, and Tristan da Cunha","2,486"
Falkland Islands (Islas Malvinas),"1,85"
Svalbard,"1,59"
Tokelau,"1,1"
Norfolk Island,978
Niue,663
Pitcairn Islands,15